"_id","author_details","title","isbn","publisher","date_published","rating","bookshelf_id","bookshelf","read","series_details","pages","notes","list_price","anthology","location","read_start","read_end","format","signed","loaned_to","anthology_titles","description","genre","date_added","goodreads_book_id","last_goodreads_sync_date","last_update_date","book_uuid",
"95","Lewis, Michael","Stout","9780937381441","Brewers Publications","1998-01-26","0","4,","kitchen,","0","Classic Beer Style Series (10)|Classic Beer Style","192","","","0","","","","","0","","","Michael Lewis, Ph.D., traces the changing view of this popular beer style from a medicinal tonic to its glorified position in today's beer world.  Illustrations and photos throughout.","Cooking / Beverages / Beer","2012-12-07 04:08:08","0","0000-00-00","2012-12-22 02:42:27","c997bfd3d56d0e9115d772c48bc11ac7",
"96","Hieronymus, Stan","Brew Like a Monk: Trappist, Abbey, and Strong Belgian Ales and How to Brew Them","9780937381878","Brewers Publications","2005-09-08","0","4,","kitchen,","0","Belgian Brewing Books","295","","","0","","","","","0","","","Brew Like a Monk delves into monastic brewing, detailing this rich-flavored region of the beer world. It also examines methods for brewing these unique ales suited to commercial and amateur brewers.","Cooking / Beverages / General","2012-12-07 04:08:22","0","0000-00-00","2012-12-22 02:42:28","a925316f2b99aac36f832101e38b9af5",
"97","Markowski, Phil","Farmhouse Ales: Culture and Craftsmanship in the Belgian Tradition","9780937381847","Brewers Publications","2004-11-17","0","4,","kitchen,","0","Belgian Brewing Books","256","","","0","","","","","0","","","Farmhouse Ales defines the results of years of evolution, refinement, of simple rustic ales in modern and historical terms, while guiding today's brewers toward credible--and enjoyable--reproductions of these old world classics.","History / Civilization","2012-12-07 04:08:37","0","0000-00-00","2012-12-22 02:42:29","e8d06170ac4c465ea42cfe3957ad3bad",
"98","Sparrow, Jeff|Hieronymus, Stan","Wild Brews: Culture and Craftsmanship in the Belgian Tradition","9780937381861","Brewers Publications","2005-05-25","0","4,","kitchen,","0","Belgian Brewing Books","256","","","0","","","","","0","","","Explores the world of Lambics, Flanders red and Flanders brown beers as well as the many new American beers produced in the similar style.","","2012-12-07 04:08:56","0","0000-00-00","2012-12-22 02:42:30","5e3e7c4e837c79d76ebdb705b0464d7b",
"99","Papazian, Charlie","New Complete Joy Of Home Brewing, The","9780380763665","Avon Books","1991-10-01","0","4,","kitchen,","0","","398","","","0","","","","","0","","","<P>Stouts, ales, lagers, porters, bitters, pilseners, specialtybeers, and meads. . .they're all remarkably easy to make! With<I>The New Complete Joy of Home Brewing</I> -- acclaimed by criticsand amateur brewmeisters alike as the best and most authoritative guide on the market -- you can learn to make beer just the way you like it! And it's fun! Whether you prefer a richer, creamier head, a more flavorsome, full-bodied brew, or a sparkling, sweeter ale -- from the lightest lager to the darkest stout -- as a home brewer you can make them all and even keg your own like the beer masters of old!</P><P><B>Simple, Easy-to-Follow Sections on:</B><UL><LI> Getting your home brewery together: the basics -- malt, hops, yeast and water<LI> 10 easy lessons to making your first bubbling batch of beer<LI>Brewing exciting world-class styles of beer that will impress and delight your friends<LI> Using fruit, honey and herbs for a spicier, feistier brew<LI>Brewing with malt extracts for an unlimited range of strengths and flavors. . .and much, much more!</UL></P><P><B>Plus:</B> A complete home brewer's glossary; a fascinating look at the history of beer; details about the advanced world of all-grain and mash extract brewing; growing your own hops; more than 50 fantastic recipes-from Cherry Fever Stout to Monkey's Paw Brown Ale.</P><B>Over 80 Illustrations -- Contains New Up-to-Date Information!</B>","Crafts & Hobbies / General","2012-12-07 04:10:17","0","0000-00-00","2012-12-22 02:42:31","61ebb3413b69ae4d116a353aa8548c9a",
"100","Pensee, Clive La","Historical Companion to House Brewing","0951568507","The King's England Press","1990","0","4,","kitchen,","0","","156","","","0","","","","","0","","","","Cooking / Beverages / Beer","2012-12-07 04:10:48","0","0000-00-00","2012-12-22 02:42:32","5fc8ad6bca935ff07d96099931baf79e",
"101","Papazian, Charlie","Home Brewer's Companion, The","9780380772872","Avon Books (P)","1994-08","0","4,","kitchen,","0","","464","","","0","","","","","0","","","<P>All across the nation- and the world-people have been discovered the unparalleled pleasures of brewing savory beers, ales, lagers, bitters and meads right in their own homes.?? Acknowledged ""home brew guru"" Charlie Papazien can help you take your home brewing to the next level. </P><BR><P>Whether you're a novice or a pro, a dabbler or a dir-hard,<I> The Home Brewer's Companion</I> supplies valuable information, in depth details, solutions, <P>the latest techniques and equipment..</P><BR>Plus dozens of uniquely delicious new recipes for everything from fruit beers to nonalcoholic brews. <P></P><BR><P><B>Get the Most From Your Malt.</B></P><BR><LI>Easy-to-follow techniques and trouble-shooting tips</LI><BR><LI>Answers to the most often asked questions </LI><BR><LI>A guide to world beer styles</LI><BR><LI>Useful facts on fermenting, yeast-culturing and stovetop boiling</LI><BR><LI>Charts, tables and support information and much, much, more..including</LI><BR><LI>Exotic new recipes to try-from ""You'll See"" Coriander Amber Ale to Waialeale Chablis Mead</LI><BR>","Cooking / General","2012-12-07 04:11:30","0","0000-00-00","2012-12-22 02:42:33","26bd050a18e4fb75cb8630d47550729b",
"102","Limited, Verulam Publishing","Cellarmanship","9781852490638","Camra Books","","0","4,","kitchen,","0","CAMRA Guides","","","","0","","","","","0","","","","Cooking / Beverages / Bartending","2012-12-07 04:11:56","0","0000-00-00","2012-12-22 02:42:34","387f63afdcc88124ee990da3923fbd2d",
"103","Ogle, Maureen","Ambitious Brew: the Story Of American Beer","9780156033596","Mariner Books","2007-10-08","0","4,","kitchen,","0","","432","","","0","","","","","0","","","<DIV><DIV><DIV>Ambitious Brew, the first-ever history of American beer, tells an epic story of American ingenuity and the beverage that became a national standard. Not always America???s drink of choice, beer finally took its top spot in the nation???s glasses when a wave of German immigrants arrived in the mid-nineteenth century and settled in to re-create the beloved biergartens they had left behind. Fifty years later, the American-style lager beer they invented was the nation???s most popular beverage??and brewing was the nation???s fifth-largest industry, ruled over by titans Frederick Pabst and Adolphus Busch. Anti-German sentiments aroused by World War I fed the flames of the temperance movement and brought on Prohibition. After its repeal, brewers replaced flavor with innovations such as flashy marketing and lite beer, setting the stage for the generation of microbrewers whose ambitions would reshape the brew once again.</p>Grab a glass and a stool as Maureen Ogle pours out the surprising story behind your favorite pint.</P></DIV></DIV></DIV>","Technology & Engineering / Food Science","2012-12-07 04:12:34","0","0000-00-00","2012-12-22 02:42:35","63a5095e9d7b101b3bb2330332de3b4b",
"104","Noonan, Gregory J.","Brewing Lager Beer: the Most Comprehensive Book For Home - and Microbrewers","0937381012","Brewers Pubns","1986-03-01","0","4,","kitchen,","0","","293","","","0","","","","","0","","","This book is for serious brewers. Only intermediate, expert and professional small-scale brewers can appreciate the wealth of information presented in this advanced discussion of the principles of sound brewing. Have you ever questioned why certain brewing procedures - or temperatures or ingredients - produce good-tasting, satisfying beer? Every dedicated brewer has. Now, here are the answers. In Brewing Lager Beer, author Gregory Noonan clearly reveals the scientific facts inherent in brewing ingredients and procedures. Now, you can know exactly what produces high-quality beer, and exactly how you can achieve that every single time you brew. Part 1 examines the fine points of beer ingredients. Then Part 2 guides the brewer through the essential steps of planning and brewing classic lager beers. Appendices include brewing facts and measures. For the first time, decoction mashing is thoroughly discussed in English.","Cooking / Beverages / Beer","2012-12-07 04:13:14","0","0000-00-00","2012-12-22 02:42:36","4b4f1a4c6dcf056a5b1d59d2bd5a70d9",
"105","Proulx, Annie|Nichols, Lew","Cider: Making, Using & Enjoying Sweet & Hard Cider","0882669699","Storey Books","1997-07","0","4,","kitchen,","0","","219","","","0","","","","","0","","","Make your own cider! Annie Proulx and Lew Nichols take you step-by-step through the cidermaking process, covering everything from the various types of apple presses to how to filter, fine, rack, and store??your cider. They also provide recipes for making six types of cider---still, sparkling, champagne, barrel, French, and flavored---and advise you on which apples to use to achieve particular flavor qualities. There is even a chapter on making cider vinegars and brandy and using cider in your cooking. Finally, Proulx and Nichols show you how to grow and maintain your own home apple orchard and build your own cidermaking equipment.<br /><br /> <p>??</p>","Cooking / Beverages / Non-Alcoholic","2012-12-07 04:15:39","0","0000-00-00","2012-12-22 02:42:37","79281e664f787e4cec9768b466ce5b65",
"106","Carroll, Ricki|Carroll, Robert","Cheesemaking Made Easy: 60 Delicious Varieties","0882662678","Storey Publishing, Llc","1995-01-09","0","4,","kitchen,","0","","144","","","0","","","","","0","","","This updated edition includes equipment lists, step-by-step instructions, and a troubleshooting chart.<P>","Cooking / Specific Ingredients / Dairy","2012-12-07 04:15:56","0","0000-00-00","2012-12-22 02:42:38","619ddca739dc2676d0e7434844560bc3",
"107","Correnty, P|Correnty, Paul","Art Of Cidermaking, The","093738142X","Brewers Publications","1998-01-26","0","4,","kitchen,","0","","86","","","0","","","","","0","","","The Art of Cidermaking takes you back to making cider like your many great granddads.--All About Beer","Science / Chemistry / Industrial & Technical","2012-12-07 04:16:33","0","0000-00-00","2012-12-22 02:42:40","b2245fea0c5d42630275aaa6bc3794ad",
"108","Fox, Helen M.|Fox, Helen Morgenthau","Gardening With Herbs For Flavor and Fragrance","0486225402","Dover Publications","1970-06-01","0","4,","kitchen,","0","","334","","","0","","","","","0","","","<DIV>Delightfully illustrated guide opens the fragrant door to growing, savoring, and appreciating garlic, dill, basil, fennel, rosemary, sesame, 67 different herbs that can be grown anywhere. From soil preparation to harvesting and storing. Over 55 recipes; also legends, myths, medicinal uses, more.<br></div>","Gardening / Herbs","2012-12-07 04:16:54","0","0000-00-00","2012-12-22 02:42:41","a602ca6cfeda3d62ce5d7aadb369c52a",
"109","Harris, Gertrude","Pots & Pans Etc","0912238070","101 Productions","1971","0","4,","kitchen,","0","","95","","","0","","","","","0","","","","Cooking / Methods / General","2012-12-07 04:17:17","0","0000-00-00","2012-12-22 02:42:42","352d965cd0f6f6673810aa5792b4cdb6",
"110","Pellegrini, Angelo|Pellegrini, Angelo M.","Unprejudiced Palate","0865471789","North Point Press","1985-09","0","4,","kitchen,","0","","244","","","0","","","","","0","","","","Language Arts & Disciplines / Authorship","2012-12-07 04:17:39","0","0000-00-00","2012-12-22 02:42:43","a13420b670e32d7d5d319fcabb449fa8",
"111","Software, SLEEPYCAT Sleepycat|Software, Inc Sleepycat|Inc., Sleepycat Software","Berkeley Db","9780735710641","Sams Publishing","2001-06-24","0","1,","computer,","0","","688","","","0","","","","","0","","","<p style=""margin:0px;"" >Small, special-purpose computing devices and high-end core Internet servers need fast, reliable database management. Berkeley DB is an embedded database that provides high-performance, scalable, transaction-protected and recoverable data management services to applications. Extremely portable, this library runs under almost all UNIX and Windows variants, as well as a number of embedded, real-time operating systems.</p> <p style=""margin:0px;"" > <i>Berkeley DB</i> is the ultimate resource for the world's most widely deployed embedded database engine. This book will aid software architects and engineers, product managers, and systems and network administrators without the overhead imposed by other database products.</p> <p style=""margin:0px;"" >Designed by programmers for programmers, this classic library style toolkit provides a broad base of functionality to application writers. This book will help you to make intelligent choices about when and how to use Berkeley DB to meet your needs.</p> <p style=""margin:0px;"" >You can visit the Sleepycat website to get the latest errata for this book.</p> <p style=""margin:0px;"" > <b>NOTE:</b> The first printing of this book contained an error in the table of contents that caused the page numbers to be off. This will be corrected in the second printing. If you have an earlier edition, you can download a pdf of the correct table of contents that you can print out and use with your book. If you have any questions, please feel free to contact the editor of this book at stephanie.wall@newriders.com.</p>","Computers / Hardware / Personal Computers / General","2012-12-07 04:30:42","0","0000-00-00","2012-12-22 02:42:43","f9b3436cfa0657837b4d9f072d038b7e",
"112","Scambray, Joel|McClure, Stuart|Kurtz, George|MacClure, Stuart","Hacking Exposed: Network Security Secrets & Solutions, Third Edition","9780072193817","Osborne/mcgraw-hill","2001-09-26","0","1,","computer,","0","Hacking Exposed","700","","","0","","","","","0","","","Learn in-depth insight into how hackers infiltrate e-business and how they can be stopped. The book contains updated hacks and countermeasures, including the latest denial of service attacks, email attacks, viruses, and Web hacks. There is also coverage of Windows XP Server. The CD contains custom scripts created, vendor tools, a default password database, and an electronic outline of the book with live links to all of the tools that are referenced in the book. Authors are proven security experts who are keynote speakers and instructors for world-wide security conferences (Black Hat, RSA, SANS, among others), where they give a ""Hacking Exposed Live!"" presentation.","Computers / Security / General","2012-12-07 04:31:10","0","0000-00-00","2012-12-22 02:42:45","3c7ff13b9ceffd427547eff43eeced9e",
"113","McConnell, Steve","Professional Software Development: Shorter Schedules, Higher Quality Products, More Successful Projects, Enhanced Careers","9780321193674","Addison-wesley Professional","2003-07-10","0","2,","work-computer,","0","","272","","","0","","","","","0","","","Renowned software expert Steve McConnell helps software students transition to the role of software professionals. Significant developments are afoot that will impact the future careers of student programmers, including initiatives in education, professional development, certification, and licensing. Some of these developments are well thought out and positive; others are being forced and need to be improved before they are standardized. Software development is changing, whether programmers recognize it or not. Programmers who are not paying attention could easily find themselves working as twenty-first century software janitors. This book describes the occupation of computer programming as it exists today and the profession of software engineering as it can exist in the future.","Computers / Software Development & Engineering / General","2012-12-07 04:32:16","0","0000-00-00","2012-12-22 02:42:46","da18349512eef2fb94ce9a9e0883485c",
"114","Plagemann, Catherine|Fisher, M. F. K.|Fisher, Mary Frances Kennedy","Fine Preserving: Jams and Jellies, Pickles and Relishes, Conserves and Chutneys and Brandied Fruits For City and Country Cooks","0943186315","Aris Books","1986-08-01","0","4,","kitchen,","0","","132","","","0","","","","","0","","","Transforming fruits and vegetables into jams and jellies, pickles and relishes, conserves and chutneys is a joyous art, and Fine Preserving is treasured by many cooks as the finest book on preserving since its publication in 1967. Illustrated.","Cooking / General","2012-12-07 04:34:09","0","0000-00-00","2012-12-22 02:42:47","f3d53b33b00c265c933aac681a02c6ce",
"115","Hall, Joseph N.|Schwartz, Randal|Schwartz, Randal L.","Effective Perl Programming: Writing Better Programs With Perl","9780201419757","Addison-wesley Professional","1998-01-09","0","2,","work-computer,","0","","288","","","0","","","","","0","","","Perl experts Joseph Hall and Randal Schwartz share sixty concise lessons, focusing on programming techniques, pointers, rules of thumb, and the pitfalls to avoid, enabling students to make the most of Perl's power and capabilities. Through their advice, they help students develop a knack for the right ways to do things. They show how to solve problems with Perl, and how to debug and improve Perl programs. Through examples, they help you learn good Perl style. Geared for students who have already acquired Perl basics, the book will extend students' skill range, giving them the tactics and deeper understanding they need to create Perl programs that are more elegant, effective, and succinct. The book also speaks to those who want to become more fluent, expressive, and individualistic Perl programmers. The author maintains a substantial companion website at http://www.effectiveperl.com.","Computers / Programming Languages / Perl","2012-12-07 15:03:14","0","0000-00-00","2012-12-22 02:42:48","1fda584a8f70ae1bbba93a7c8bc55a04",
"116","Srinivasan, Sriram","Advanced Perl Programming","9781565922204","O'reilly Media","1997-08-08","0","2,","work-computer,","0","","432","","","0","","","","","0","","","<DIV><p>So you've learned Perl, but you're getting frustrated.  Perhaps you've taken on a larger project than the ones you're used to. Or you want to add a user interface or a networking component.  Or you need to do more complicated error trapping.</p><p>Whether your knowledge of Perl is casual or deep, this book will make you a more accomplished programmer.  Here you can learn the complex techniques for production-ready Perl programs. This book explains methods for manipulating data and objects that may have looked like magic before.  Furthermore, it sets Perl in the context of a larger  environment, giving you the background you need for dealing with networks,  databases, and GUIs.  The discussion of internals helps you program more efficiently and embed Perl within C or C within Perl.</p><p>Major topics covered include:</p> <ul><li type=""disc"">Practical use of packages and classes (object-oriented programming)</li> <li type=""disc"">Complex data structures</li> <li type=""disc"">Persistence (e.g., using a database)</li> <li type=""disc"">Networking</li> <li type=""disc"">Graphical interfaces, using the Tk toolkit</li> <li type=""disc"">Interaction with C language functions</li> <li type=""disc"">Embedding and extending the Perl interpreter </li></ul><p>In addition, the book patiently explains all sorts of language details you've always wanted to know more about, such as the use of references, trapping errors through the eval operator, non-blocking I/O, when closures are helpful, and using ties to trigger actions when data is accessed. You will emerge from this book a better hacker, and a proud master of Perl.</p></div>","Computers / Programming Languages / Perl","2012-12-07 15:03:29","0","0000-00-00","2012-12-22 02:42:49","552793433d879f8187c0c5670b66f46a",
"117","Flanagan, David|Matsumoto, Yukihiro","Ruby Programming Language, The","9780596516178","O'reilly Media","2008-02-01","0","6,","teris,","0","","448","","","0","","","","","0","","","<DIV><p><I>The Ruby Programming Language</I> is <I>the</I> authoritative guide to Ruby and provides comprehensive coverage of versions 1.8 and 1.9 of the language. It was written (and illustrated!) by an all-star team:</p><ul><li>David Flanagan, bestselling author of programming language ""bibles"" (including <I>JavaScript: The Definitive Guide</I> and <I>Java in a Nutshell</I>) and committer to the Ruby Subversion repository.</li><br/><br/><li>Yukihiro ""Matz"" Matsumoto, creator, designer and lead developer of Ruby and author of <I>Ruby in a Nutshell</I>, which has been expanded and revised to become this book.</li><br/><br/><li>why the lucky stiff, artist and Ruby programmer extraordinaire.</li> </ul> This book begins with a quick-start tutorial to the language, and then explains the language in detail from the bottom up: from lexical and syntactic structure to datatypes to expressions and statements and on through methods, blocks, lambdas, closures, classes and modules.<br><br> The book also includes a long and thorough introduction to the rich API of the Ruby platform, demonstrating -- with heavily-commented example code -- Ruby's facilities for text processing, numeric manipulation, collections, input/output, networking, and concurrency. An entire chapter is devoted to Ruby's metaprogramming capabilities.<br><br><I>The Ruby Programming Language</I> documents the Ruby language definitively but without the formality of a language specification. It is written for experienced programmers who are new to Ruby, and for current Ruby programmers who want to challenge their understanding and increase their mastery of the language.<br><br></div>","Computers / Software Development & Engineering / General","2012-12-07 15:03:41","0","0000-00-00","2012-12-22 02:42:51","574e3f930bc086d0abd320e38bd6cde7",
"118","Kernighan, Brian W.|Ritchie, Dennis M.","C Programming Language, The","9780131103627","Prentice Hall","1988","0","2,","work-computer,","0","2nd Edition","296","","","0","","","","","0","","","The authors present the complete guide to ANSI standard C language programming. Written by the developers of C, this new version helps readers keep up with the finalized ANSI standard for C while showing how to take advantage of C's rich set of operators, economy of expression, improved control flow, and data structures. The 2/E has been completely rewritten with additional examples and problem sets to clarify the implementation of difficult language constructs. For years, C programmers have let K&R guide them to building well-structured and efficient programs. Now this same help is available to those working with ANSI compilers. Includes detailed coverage of the C language plus the official C language reference manual for at-a-glance help with syntax notation, declarations, ANSI changes, scope rules, and the list goes on and on.","Computers / Programming Languages / C","2012-12-07 15:03:54","0","0000-00-00","2012-12-22 02:42:52","b173865c22a764eb2d6382e9f8639b23",
"119","Flanagan, David","Java in a Nutshell: a Desktop Quick Reference For Java Programmers (In a Nutshell","9781565922624","O'reilly Media","1997-05-08","0","2,","work-computer,","0","O'Reilly)|Nutshell Handbook Series","628","","","0","","","","","0","","","<DIV><p>The bestselling <i>Java in a Nutshell</i> has been updated to cover Java 1.1.   If you're a Java programmer who is migrating to 1.1, this second  edition contains everything you need to get up to speed on the new features of Java 1.1.  Or if you are just now jumping on the Java bandwagon, <i>Java in a Nutshell</i> still has all of the features that have  made it the Java book most often recommended on the Internet.  An  advanced introduction to Java for C and C++ programmers teaches you  everything you need to know about the language, while the complete  quick-reference contains descriptions of all of the classes in the  Java 1.1 API, with the exception of the Enterprise APIs.<br><i>Java in a Nutshell</i> also fully describes the syntax of the Java language,  making it the only quick reference that a Java programmer needs.</p><p>The second edition of <i>Java in a Nutshell</i> covers Version 1.1 of the Java  Development Kit (JDK).  It includes all of the material from the first  edition, as well as the following updated information for Java 1.1:</p> <ul><li>A detailed overview of all of the features in Java 1.1, both on a package-by-package basis and in terms of overall functionality.</li> <li>A comprehensive tutorial on ""inner classes"" that explains how to use all of the new types of inner classes: static member classes, member classes, local classes, and anonymous classes.</li> <li>Practical, real-world example programs that demonstrate the  features in Java 1.1, including object serialization, the new AWT event handling model, internationalization, and a sample Java Bean.</li> <li>A complete quick reference for all of the classes, methods, and variables in the core Java 1.1 API.  The quick-reference pages include indicators that make it easy to find the 1.1 material. In addition, cross-reference material is now provided directly on each reference page.</li> </ul><p>With the 1.1 release, Java has grown too large to fit in a single book, even in quick-reference form.  Thus, we see the need to split <i>Java in a Nutshell</i> into multiple volumes.  This volume, the ""original"" <i>Java in a Nutshell</i>, documents the most commonly used features of Java and is an indispensable reference for all Java programmers.  We may publish a separate volume that will cover the Java ""Enterprise APIs"", which include the database connectivity, remote method invocation, and security features, as well as other forthcoming components, such as CORBA IDL support and the electronic commerce framework.  And as other new Java APIs are developed and released, we may consider adding new volumes to the <i>Java in a Nutshell</i> series.</p></div>","Computers / Programming Languages / Java","2012-12-07 15:08:42","0","0000-00-00","2012-12-22 02:42:52","efac2856a54ae45c568113db45ffbc7f",
"120","Prinz, Peter|Crawford, Tony","C in a Nutshell (In a Nutshell","9780596006976","O'reilly Media","2005-12-23","0","2,","work-computer,","0","O'Reilly)|Nutshell Handbook Series","622","","","0","","","","","0","","","<DIV><p>Learning a language--any language--involves a process wherein you learn to rely less and less on instruction and more increasingly on the aspects of the language you've mastered. Whether you're learning French, Java, or C, at some point you'll set aside the tutorial and attempt to converse on your own. It's not necessary to know every subtle facet of French in order to speak it well, especially if there's a good dictionary available. Likewise, C programmers don't need to memorize every detail of C in order to write good programs. What they need instead is a reliable, comprehensive reference that they can keep nearby. <i>C in a Nutshell</i> is that reference.</p><p> This long-awaited book is a complete reference to the C programming language and C runtime library. Its purpose is to serve as a convenient, reliable companion in your day-to-day work as a C programmer.  C in a Nutshell covers virtually everything you need to program in C, describing all the elements of the language and illustrating their use with numerous examples.<br></p><p> The book is divided into three distinct parts.  The first part is a fast-paced description, reminiscent of the classic Kernighan & Ritchie text on which many C programmers cut their teeth.  It focuses specifically on the C language and preprocessor directives, including extensions introduced to the ANSI standard in 1999.  These topics and others are covered:</p><p></p><ul><li>Numeric constants </li><li>Implicit and explicit type conversions </li><li>Expressions and operators </li><li>Functions </li><li>Fixed-length and variable-length arrays </li><li>Pointers </li><li>Dynamic memory management </li><li>Input and output</li></ul><p>The second part of the book is a comprehensive reference to the C runtime library; it includes an overview of the contents of the standard headers and a description of each standard library function.  Part III provides the necessary knowledge of the C programmer's basic tools: the compiler, the make utility, and the debugger.  The tools described here are those in the GNU software collection.</p><p> <i>C in a Nutshell</i> is the perfect companion to K&R, and destined to be the most reached-for reference on your desk.</p></div>","Computers / Software Development & Engineering / General","2012-12-07 15:08:52","0","0000-00-00","2012-12-22 02:42:54","cbbbd4aac955b641d61ca20fa9d27403",
"121","Roman, Steven","Access Database Design & Programming","9780596002732","O'reilly Media","2002-01-14","0","2,","work-computer,","0","3rd Edition","448","","","0","","","","","0","","","<DIV><p><i>Access Database Design & Programming</i> takes you behind the details of the Access interface, focusing on the  general knowledge necessary for Access power users or developers to create effective database applications. When using software products with graphical interfaces, we frequently focus so much on the interface that we forget  about the general concepts that allow us to understand and use the software effectively. In particular, this book  focuses on three areas:</p><ul><li type=""disc""><b>Database design</b>. The book provides an enjoyable, informative overview of database design that  carefully shows you how to normalize tables to eliminate redundancy without losing data.</li> <li type=""disc""><b>Queries</b>. The book examines multi-table queries (i.e.,various types of joins) and shows how to  implement them indirectly by using the Access interface or directly by using Access SQL.</li> <li type=""disc""><b>Programming</b>. The book examines the VBA integrated development environment (IDE). It then goes on  to provide an excellent introduction to Data Access Objects (DAO), ActiveX Data Objects (ADO), and ADO Extensions for Data Definition and Security (ADOX). These sections serve as a handy introduction and primer for basic  database operations,such as modifying a table under program control, dynamically adding and deleting a record,  and repositioning a record pointer. The concluding chapter focuses on common programming problems, such as  computing running sums and comparing two sets.</li></ul> Unlike other Access books that take the long, detailed approach to every topic of concern to Access programmers,  <i>Access Database Design &Programming</i> instead focuses on the core concepts, enabling programmers to develop  solid, effective database applications. This book also serves as a 'second course' in Access that provides a  relatively experienced Access user who is new to programming with the frequently overlooked techniques necessary  to develop successfully in the Microsoft Access environment.<p>Anyone interested in learning Access in depth, rather than just scraping the surface, will enjoy and benefit  immensely from reading this book.</p></div>","Computers / Data Modeling & Design","2012-12-07 15:10:11","0","0000-00-00","2012-12-22 02:42:55","8d2d0de53e97f64c152203c943f1143f",
"122","PIKE, KERNIGHAN &|Kernighan, Brian W.|Pike, Rob","Unix Programming Environment, The","013937681X","Prentice-hall","1983-11-11","0","2,","work-computer,","0","Prentice-Hall Software Series","357","","","0","","","","","0","","","<P> <B> </B> Designed for first-time and experienced users, this book describes the UNIX?? programming environment and philosophy in detail. <B> </B> Readers will gain an understanding not only of how to use the system, its components, and the programs, but also how these fit into the total environment.  </P>","Computers / Operating Systems / UNIX","2012-12-07 15:12:51","0","0000-00-00","2012-12-22 02:42:55","7eb13ceef0bce17eef8aa7fa5e566619",
"123","Gilly, Daniel|Inc., O'Reilly Media|Loukides, Mike","Unix in a Nutshell: System V & Solaris 2.0","9781565920019","O'reilly Media","1992-06-01","0","2,","work-computer,","0","Nutshell Handbook Series","444","","","0","","","","","0","","","<DIV><p>You may have seen UNIX quick-reference guides, but you've never seen anything like <i>UNIX in a Nutshell</i>. Not a scaled-down quick reference of common commands, <i>UNIX in a Nutshell</i> is a complete reference containing all commands and options, along with generous descriptions and examples that put the commands in context. For all but the thorniest UNIX problems, this one reference should be all the documentation you need.</p><p>The second edition of <i>UNIX in a Nutshell</i> starts with thorough coverage of System V Release 3. To that, we've added the many new commands that were added to Release 4 and additional commands that were added to Solaris 2.0.</p><p>Contents include:</p> <ul><li>All user and programmer commands.</li> <li>New Korn shell documentation.</li> <li>Expanded text editing section, including GNU Emacs and <i>nawk</i>.</li> <li>Shell syntax (<i>sh</i> and <i>csh</i>).</li> <li>Pattern-matching syntax.</li> <li><i>vi</i> and <i>ex</i> commands.</li> <li><i>sed</i> and <i>awk</i> commands.</li> <li><i>troff</i> and related commands and macros.</li> <li><i>sdb</i> and <i>dbx</i> commands.</li> </ul><p>If you currently use either SVR3 or SVR4 or are planning to in the future, or if you're a Sun user facing the transition to Solaris, you'll want this book. <i>UNIX in a Nutshell</i> is the most comprehensive quickref on the market, a must for any UNIX user.</p></div>","Computers / Operating Systems / UNIX","2012-12-07 15:15:43","0","0000-00-00","2012-12-22 02:42:56","a45af48f92580df37b7648af18ac0923",
"124","Oram, Andrew|Talbott, Steve|Oram, Andy|Talbot, Steve","Managing Projects With Make","9780937175903","O'reilly Media","1993-02-01","0","2,","work-computer,","0","Nutshell Handbook Series","168","","","0","","","","","0","","","<DIV><p><i>make</i> is one of UNIX's greatest contributions to software development, and this book is the clearest description of <i>make</i> ever written. Even the smallest software project typically involves a number of files that depend upon each other in various ways. If you modify one or more source files, you must relink the program after recompiling some, but not necessarily all, of the sources.</p><p><i>make</i> greatly simplifies this process. By recording the relationships between sets of files, make can automatically perform all the necessary updating.</p><p>For large projects with teams of programmers and multiple releases, <i>make</i> becomes even more critical. But in order to avoid spending a major portion of your maintenance budget on maintaining the <i>Makefiles</i>, you need a system for handling directories, dependencies, and macro definitions. This book describes all the basic features of <i>make</i> and provides guidelines on meeting the needs of large, modern projects.</p><p>Some of the issues addressed in the second edition include:</p><ul><li>Projects covering several directories.</li> <li>Maintaining consistency when building variants of a program. </li> <li>Automatic generation of header file dependencies. </li> <li>Forced rebuilds of existing files. </li> <li>A description of free products that contain major enhancements to <i>make</i>. </li> <li>Listings of the features that vary between different versions of <i>make</i> and simple ways to test them. </li> <li>More detail and examples on common errors, use of the shell in <i>make</i>, formal rules of syntax in <i>make</i>, and support for various utilities.</li></ul></div>","Reference / Directories","2012-12-07 15:15:53","0","0000-00-00","2012-12-22 02:42:58","ac49b575a7c0784547433d4bc41da3fa",
